date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:16	78/78	---MCZ	200	added ('OK')	text/plain	etag:W/%2243-18805276d50%22	https://lfgswap.finance/robots.txt		(from )
18:47:17	6815/6815	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20May%202024%2017:47:17%20GMT	https://lfgswap.finance/	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/index.html	(from )
18:47:19	101338/101338	---M--	200	added ('OK')	image/png	etag:W/%2218bda-18805276d50%22	https://lfgswap.finance/images/hero.png	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/images/hero.png	(from https://lfgswap.finance/)
18:47:19	4286/4286	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2210be-18805276d50%22	https://lfgswap.finance/favicon.ico	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/favicon.ico	(from https://lfgswap.finance/)
18:47:20	19797/19797	---M--	200	added ('OK')	image/png	etag:W/%224d55-18805276d50%22	https://lfgswap.finance/logo.png	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/logo.png	(from https://lfgswap.finance/)
18:47:21	520/520	---MCZ	200	added ('OK')	application/json	etag:W/%22208-18805276d50%22	https://lfgswap.finance/manifest.json	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/manifest.json	(from https://lfgswap.finance/)
18:47:21	11506/11506	---MCZ	200	added ('OK')	text/css	etag:W/%222cf2-18ea6b5e3a5%22	https://lfgswap.finance/_next/static/css/f8f97fc05f81a8c1.css	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/css/f8f97fc05f81a8c1.css	(from https://lfgswap.finance/)
18:47:22	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-18ea6b5e39e%22	https://lfgswap.finance/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://lfgswap.finance/)
18:47:22	6182/6182	---MCZ	200	added ('OK')	application/javascript	etag:W/%221826-18b83653cb7%22	https://lfgswap.finance/_next/static/chunks/webpack-043339208ac90de8.js	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/chunks/webpack-043339208ac90de8.js	(from https://lfgswap.finance/)
18:47:22	141587/141587	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222913-18b83653d02%22	https://lfgswap.finance/_next/static/chunks/framework-b3442b32a4bc4cd8.js	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/chunks/framework-b3442b32a4bc4cd8.js	(from https://lfgswap.finance/)
18:47:23	118044/118044	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cd1c-18b83653c5f%22	https://lfgswap.finance/_next/static/chunks/main-3597739829272042.js	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/chunks/main-3597739829272042.js	(from https://lfgswap.finance/)
18:47:23	109504/109504	---MCZ	200	added ('OK')	application/javascript	etag:W/%221abc0-18b83653d1e%22	https://lfgswap.finance/_next/static/chunks/4024-4f4925e3afc34576.js	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/chunks/4024-4f4925e3afc34576.js	(from https://lfgswap.finance/)
18:47:23	2072495/2072495	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f9faf-18ea6b5e3da%22	https://lfgswap.finance/_next/static/chunks/pages/_app-3171952341b5512b.js	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/chunks/pages/_app-3171952341b5512b.js	(from https://lfgswap.finance/)
18:47:24	13096/13096	---MCZ	200	added ('OK')	application/javascript	etag:W/%223328-18b83653d42%22	https://lfgswap.finance/_next/static/chunks/6682-12f76c92c28c23ca.js	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/chunks/6682-12f76c92c28c23ca.js	(from https://lfgswap.finance/)
18:47:24	50616/50616	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5b8-18b83653c8d%22	https://lfgswap.finance/_next/static/chunks/pages/index-11d4791bc16d6999.js	C:/My%20Web%20Sites/lfgfinance/lfgswap.finance/_next/static/chunks/pages/index-11d4791bc16d6999.js	(from https://lfgswap.finance/)
